state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,StateName,Region,FIPS,nCLOTHIANIDIN,nIMIDACLOPRID,nTHIAMETHOXAM,nACETAMIPRID,nTHIACLOPRID,nAllNeonic
AL,14000,66,924000,92000,0.81,748000,1997,Alabama,South,1,0.0,6704.8,0.0,0.0,0.0,6704.8
AL,15000,64,960000,96000,0.87,835000,1996,Alabama,South,1,0.0,371.6,0.0,0.0,0.0,371.6
AL,16000,58,928000,28000,0.69,640000,1995,Alabama,South,1,0.0,716.5,0.0,0.0,0.0,716.5
AL,18000,50,900000,99000,0.52,468000,1994,Alabama,South,1,,,,,,
AL,19000,45,855000,103000,0.59,504000,1993,Alabama,South,1,,,,,,
AL,23000,24,552000,66000,0.63,348000,1991,Alabama,South,1,,,,,,
AL,25000,41,1025000,113000,0.59,605000,1992,Alabama,South,1,,,,,,
AL,11000,56,616000,209000,1.49,918000,2007,Alabama,South,1,7696.2,3258.1,4149.6,0.0,0.0,15103.9
AL,11000,72,792000,230000,1.21,958000,2006,Alabama,South,1,680.0,4230.2,5371.6,0.0,0.0,10281.8
AL,12000,86,1032000,103000,1.18,1218000,2002,Alabama,South,1,0.0,1178.8,840.4,0.0,0.0,2019.2
AL,12000,87,1044000,282000,1.41,1472000,2004,Alabama,South,1,2676.4,1323.9,3863.9,0.0,0.0,7864.2
AL,13000,66,858000,266000,1.02,875000,2005,Alabama,South,1,1503.6,994.5,5493.9,0.0,0.0,7992.0
AL,13000,82,1066000,43000,1.24,1322000,2003,Alabama,South,1,0.0,668.3,591.7,0.0,0.0,1260.0
AL,14000,73,1022000,235000,0.72,736000,2001,Alabama,South,1,0.0,1490.8,0.0,0.0,0.0,1490.8
AL,16000,71,1136000,159000,0.72,818000,1998,Alabama,South,1,0.0,1836.3,0.0,0.0,0.0,1836.3
AL,16000,78,1248000,187000,0.59,736000,2000,Alabama,South,1,0.0,1499.2,0.0,0.0,0.0,1499.2
AL,17000,68,1156000,185000,0.56,647000,1999,Alabama,South,1,0.0,1251.2,0.0,0.0,0.0,1251.2
AL,7000,45,315000,22000,2.77,873000,2017,Alabama,South,1,,,,,,
AL,7000,47,329000,13000,3.83,1260000,2015,Alabama,South,1,56.2,10919.3,1101.6,0.0,0.0,12077.1
AL,7000,52,364000,33000,3.45,1256000,2016,Alabama,South,1,,,,,,
AL,7000,52,364000,55000,2.85,1037000,2013,Alabama,South,1,5992.9,8284.4,5202.0,0.0,0.0,19479.3
AL,7000,53,371000,26000,3.53,1310000,2014,Alabama,South,1,7971.6,12194.1,4745.4,0.0,0.0,24911.1
AL,8000,54,432000,65000,2.47,1067000,2012,Alabama,South,1,4797.8,6249.1,7002.6,0.0,0.0,18049.5
AL,9000,50,450000,63000,2.51,1130000,2011,Alabama,South,1,10106.1,5229.8,7148.1,0.0,0.0,22484.0
AL,9000,50,450000,68000,1.86,837000,2009,Alabama,South,1,5087.2,3991.9,4076.2,0.0,0.0,13155.3
AL,9000,54,486000,73000,2.4,1166000,2010,Alabama,South,1,1914.0,1757.0,4658.3,0.0,0.0,8329.3
AL,9000,66,594000,214000,1.9,1129000,2008,Alabama,South,1,1598.3,3296.6,4214.5,0.0,0.0,9109.4
AR,40000,84,3360000,336000,0.85,2856000,1996,Arkansas,South,5,0.0,493.6,0.0,0.0,0.0,493.6
AR,45000,65,2925000,410000,0.52,1521000,1992,Arkansas,South,5,,,,,,
AR,47000,79,3713000,557000,0.54,2005000,1991,Arkansas,South,5,,,,,,
AR,50000,60,3000000,900000,0.71,2130000,1995,Arkansas,South,5,0.0,11115.6,0.0,0.0,0.0,11115.6
AR,50000,71,3550000,817000,0.51,1811000,1994,Arkansas,South,5,,,,,,
AR,50000,73,3650000,548000,0.5,1825000,1993,Arkansas,South,5,,,,,,
AR,50000,95,4750000,3468000,0.7,3325000,1997,Arkansas,South,5,0.0,2353.7,0.0,0.0,0.0,2353.7
AR,21000,65,1365000,137000,2.04,2785000,2014,Arkansas,South,5,15202.6,17066.9,23805.3,692.1,0.0,56766.9
